id,language,question,answer,topic
201,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
202,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
203,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
204,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
205,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
206,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
207,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
208,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
209,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
210,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
211,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
212,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
213,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
214,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
215,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
216,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
217,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
218,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
219,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
220,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
221,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
222,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
223,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
224,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
225,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
226,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
227,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
228,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
229,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
230,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
231,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
232,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
233,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
234,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
235,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
236,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
237,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
238,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
239,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
240,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
241,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
242,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
243,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
244,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
245,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
246,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
247,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
248,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
249,en,How to prevent dengue?,"Avoid mosquito bites, use repellents, remove stagnant water.",dengue
250,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
251,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
252,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
253,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
254,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
255,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
256,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
257,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
258,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
259,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
260,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
261,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
262,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
263,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
264,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
265,en,How to prevent dengue?,"Avoid mosquito bites, use repellents, remove stagnant water.",dengue
266,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
267,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
268,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
269,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
270,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
271,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
272,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
273,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
274,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
275,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
276,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
277,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
278,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
279,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
280,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
281,en,How to prevent dengue?,"Avoid mosquito bites, use repellents, remove stagnant water.",dengue
282,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
283,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
284,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
285,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
286,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
287,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
288,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
289,en,How to prevent dengue?,"Avoid mosquito bites, use repellents, remove stagnant water.",dengue
290,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
291,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
292,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
293,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
294,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
295,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
296,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
297,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
298,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
299,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
300,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
301,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
302,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
303,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
304,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
305,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
306,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
307,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
308,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
309,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
310,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
311,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
312,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
313,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
314,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
315,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
316,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
317,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
318,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
319,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
320,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
321,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
322,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
323,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
324,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
325,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
326,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
327,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
328,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
329,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
330,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
331,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
332,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
333,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
334,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
335,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
336,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
337,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
338,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
339,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
340,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
341,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
342,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
343,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
344,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
345,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
346,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
347,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
348,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
349,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
350,hi,टीकाकरण क्यों जरूरी है?,यह गंभीर बीमारियों से बचाता है और संक्रमण फैलने से रोकता है.,vaccination
351,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
352,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
353,en,How to prevent dengue?,"Avoid mosquito bites, use repellents, remove stagnant water.",dengue
354,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
355,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
356,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
357,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
358,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
359,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
360,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
361,en,How to prevent dengue?,"Avoid mosquito bites, use repellents, remove stagnant water.",dengue
362,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
363,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
364,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
365,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
366,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
367,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
368,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
369,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
370,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
371,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
372,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
373,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
374,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
375,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
376,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
377,en,How to prevent dengue?,"Avoid mosquito bites, use repellents, remove stagnant water.",dengue
378,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
379,en,What are symptoms of COVID-19?,"Fever, cough, tiredness, loss of taste or smell.",covid
380,hi,कोविड-19 से कैसे बचें?,"मास्क पहनें, दूरी रखें, हाथ धोएं और टीकाकरण करवाएं.",covid
381,en,What is a vaccine?,A vaccine helps your immune system fight against diseases.,vaccination
382,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
383,en,What are symptoms of malaria?,"Chills, high fever, sweating, headache, nausea, and vomiting.",malaria
384,hi,मलेरिया से कैसे बचें?,"मच्छरदानी, रिपेलेंट का उपयोग करें और पानी जमा न होने दें.",malaria
385,en,What are symptoms of dengue?,"Fever, severe headache, pain behind the eyes, joint pain, and rash.",dengue
386,hi,डेंगू के लक्षण क्या हैं?,"बुखार, सिर दर्द, आंखों के पीछे दर्द, जोड़ों में दर्द और लाल चकत्ते.",dengue
387,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
388,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
389,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
390,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
391,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
392,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
393,en,How to prevent dengue?,"Avoid mosquito bites, use repellents, remove stagnant water.",dengue
394,hi,डेंगू से कैसे बचें?,"मच्छरों से बचें, पानी जमा न होने दें, रिपेलेंट और मच्छरदानी का उपयोग करें.",dengue
395,en,How to prevent COVID-19?,"Wear masks, maintain distance, wash hands regularly, and get vaccinated.",covid
396,hi,कोविड-19 के लक्षण क्या हैं?,"बुखार, खांसी, थकान, स्वाद या गंध का न आना.",covid
397,en,Why is vaccination important?,It prevents serious illnesses and stops the spread of infection.,vaccination
398,hi,टीका क्या है?,टीका हमारी प्रतिरक्षा प्रणाली को बीमारी से लड़ने में मदद करता है.,vaccination
399,en,How to prevent malaria?,"Use mosquito nets, repellents, and avoid mosquito breeding.",malaria
400,hi,मलेरिया के लक्षण क्या हैं?,"कंपकंपी, तेज बुखार, पसीना, सिर दर्द, मतली और उल्टी.",malaria
